Participant,Alcohol,Remember,IRK,Guess
41,Before,0.805555556,0.857142857,0.027777778
42,Before,0.211267606,0.946428571,0.042253521
43,Before,0.734177215,1,0
44,Before,0.485294118,0.885714286,0.058823529
45,Before,0.597402597,0.967741935,0.012987013
46,Before,0.888888889,0.666666667,0.037037037
47,Before,0.413333333,1,0
48,Before,0.586206897,0.791666667,0.086206897
49,Before,0.835443038,0.846153846,0.025316456
50,Before,0.530612245,1,0
51,Before,0.788732394,0.866666667,0.028169014
52,Before,0.272727273,0.875,0.090909091
54,Before,0.305555556,0.98,0.013888889
55,Before,0.410958904,0.976744186,0.01369863
56,Before,0.676056338,0.869565217,0.042253521
60,Before,0.613333333,0.862068966,0.053333333
61,Before,0.610169492,0.782608696,0.084745763
62,Before,0.517857143,0.888888889,0.053571429
63,Before,0.719298246,1,0
64,Before,0.764705882,0.85,0.035294118
67,Before,0.725,0.636363636,0.1
68,Before,0.350877193,0.594594595,0.263157895
69,Before,0.710526316,0.727272727,0.078947368
41,After,0.727272727,1,0
42,After,0.081632653,0.933333333,0.06122449
43,After,0.76,1,0
44,After,0.555555556,0.833333333,0.074074074
45,After,0.632653061,0.944444444,0.020408163
46,After,0.890625,0.714285714,0.03125
47,After,0.2,0.979166667,0.016666667
48,After,0.3,0.785714286,0.15
49,After,0.770491803,1,0
50,After,0.404255319,0.714285714,0.170212766
51,After,0.596774194,0.76,0.096774194
52,After,0.178082192,1,0
54,After,0.428571429,0.90625,0.053571429
55,After,0.440677966,0.939393939,0.033898305
56,After,0.245614035,0.837209302,0.122807018
60,After,0.678571429,0.444444444,0.178571429
61,After,0.555555556,0.571428571,0.19047619
62,After,0.555555556,0.6,0.177777778
63,After,0.25,0.933333333,0.05
64,After,0.565217391,0.9,0.043478261
67,After,0.891566265,0.666666667,0.036144578
68,After,0.369565217,0.793103448,0.130434783
69,After,0.423728814,0.764705882,0.13559322
41,AfterMBO,0.787234043,0.1,0.191489362
42,AfterMBO,0.236363636,0.761904762,0.181818182
43,AfterMBO,0.743589744,1,0
44,AfterMBO,0.373134328,0.857142857,0.089552239
45,AfterMBO,0.560606061,1,0
46,AfterMBO,0.776470588,0.736842105,0.058823529
47,AfterMBO,0.810126582,1,0
48,AfterMBO,0.75,1,0
49,AfterMBO,0.940298507,0.75,0.014925373
50,AfterMBO,0.592592593,1,0
51,AfterMBO,0.561643836,1,0
52,AfterMBO,0.253333333,0.910714286,0.066666667
54,AfterMBO,0.617021277,1,0
55,AfterMBO,0.666666667,0.916666667,0.027777778
56,AfterMBO,0.625,0.916666667,0.03125
60,AfterMBO,0,0.375,0.625
61,AfterMBO,0.576271186,0.88,0.050847458
62,AfterMBO,0.438596491,0.5,0.280701754
63,AfterMBO,0.535714286,1,0
64,AfterMBO,0.7625,0.789473684,0.05
67,AfterMBO,0.607142857,0.878787879,0.047619048
68,AfterMBO,0.31372549,0.457142857,0.37254902
69,AfterMBO,0.203389831,0.893617021,0.084745763